120322-bin51|PROKKA_MOD_00001	COG0001
120531-bin86|PROKKA_MOD_02270	COG0188
120531-bin86|PROKKA_MOD_02272	COG1136
120531-bin86|PROKKA_MOD_02274	COG1304
120531-bin86|PROKKA_MOD_02280	COG0395
120531-bin86|PROKKA_MOD_02281	COG0714
120531-bin86|PROKKA_MOD_02284	COG0797
120531-bin86|PROKKA_MOD_02285	COG0633
120531-bin86|PROKKA_MOD_02286	COG2124
120531-bin86|PROKKA_MOD_02290	COG0345
120531-bin86|PROKKA_MOD_02293	COG4341
120531-bin86|PROKKA_MOD_02297	COG1960
120531-bin86|PROKKA_MOD_02298	COG1566
120531-bin86|PROKKA_MOD_02301	COG0776
120531-bin86|PROKKA_MOD_02307	COG0596
120531-bin86|PROKKA_MOD_02309	COG2963
120531-bin86|PROKKA_MOD_02310	COG2801
120531-bin86|PROKKA_MOD_02313	COG0664
120531-bin86|PROKKA_MOD_02317	COG0539
120531-bin86|PROKKA_MOD_02318	COG1574
120531-bin86|PROKKA_MOD_02329	COG0508
120531-bin86|PROKKA_MOD_02336	COG0644
120531-bin86|PROKKA_MOD_02337	COG2963
120531-bin86|PROKKA_MOD_02338	COG2801
120531-bin86|PROKKA_MOD_02339	COG1377
120531-bin86|PROKKA_MOD_02343	COG4147
120531-bin86|PROKKA_MOD_02345	COG1477
120531-bin86|PROKKA_MOD_02347	COG1972
120531-bin86|PROKKA_MOD_02348	COG1607
120531-bin86|PROKKA_MOD_02349	COG4664
120531-bin86|PROKKA_MOD_02351	COG1574
120531-bin86|PROKKA_MOD_02353	COG1028
120531-bin86|PROKKA_MOD_02360	COG2863
120531-bin86|PROKKA_MOD_02361	COG0218
120531-bin86|PROKKA_MOD_02362	COG0406
120531-bin86|PROKKA_MOD_02364	COG0582
120531-bin86|PROKKA_MOD_02365	COG0215
120531-bin86|PROKKA_MOD_02369	COG2951
120531-bin86|PROKKA_MOD_02372	COG0772
120531-bin86|PROKKA_MOD_02378	COG2818
120531-bin86|PROKKA_MOD_02380	COG3222
120531-bin86|PROKKA_MOD_02383	COG2030
120531-bin86|PROKKA_MOD_02385	COG1131
120531-bin86|PROKKA_MOD_02388	COG2095
120531-bin86|PROKKA_MOD_02390	COG0859
120531-bin86|PROKKA_MOD_02393	COG0084
120531-bin86|PROKKA_MOD_02399	COG1551
120531-bin86|PROKKA_MOD_02401	COG0563
120531-bin86|PROKKA_MOD_02403	COG0611
120531-bin86|PROKKA_MOD_02404	COG0781
120531-bin86|PROKKA_MOD_02405	COG0776
120531-bin86|PROKKA_MOD_02409	COG2041
120531-bin86|PROKKA_MOD_02411	COG0745
120531-bin86|PROKKA_MOD_02418	COG1250
120531-bin86|PROKKA_MOD_02427	COG0773
120531-bin86|PROKKA_MOD_02429	COG2171
120531-bin86|PROKKA_MOD_02432	COG2366
120531-bin86|PROKKA_MOD_02433	COG1082
120531-bin86|PROKKA_MOD_02436	COG3167
120531-bin86|PROKKA_MOD_02440	COG1680
120531-bin86|PROKKA_MOD_02441	COG4146
120531-bin86|PROKKA_MOD_02442	COG0024
120531-bin86|PROKKA_MOD_02443	COG0784
120531-bin86|PROKKA_MOD_02444	COG1238
120531-bin86|PROKKA_MOD_02445	COG1216
120531-bin86|PROKKA_MOD_02450	COG0211
120531-bin86|PROKKA_MOD_02451	COG0261
120531-bin86|PROKKA_MOD_02455	COG3000
120531-bin86|PROKKA_MOD_02458	COG0673
120531-bin86|PROKKA_MOD_02459	COG1619
120531-bin86|PROKKA_MOD_02460	COG0079
120531-bin86|PROKKA_MOD_02464	COG3027
120531-bin86|PROKKA_MOD_02472	COG0326
120531-bin86|PROKKA_MOD_02474	COG0845
120531-bin86|PROKKA_MOD_02475	COG4121
120531-bin86|PROKKA_MOD_02476	COG3784
120531-bin86|PROKKA_MOD_02478	COG1595
120531-bin86|PROKKA_MOD_02482	COG1230
120531-bin86|PROKKA_MOD_02488	COG2924
120531-bin86|PROKKA_MOD_02493	COG1360
120531-bin86|PROKKA_MOD_02497	COG0039
120531-bin86|PROKKA_MOD_02498	COG1815
120531-bin86|PROKKA_MOD_02499	COG1558
120531-bin86|PROKKA_MOD_02505	COG0057
120531-bin86|PROKKA_MOD_02511	COG0795
120531-bin86|PROKKA_MOD_02513	COG1686
120531-bin86|PROKKA_MOD_02516	COG0191
120531-bin86|PROKKA_MOD_02517	COG3686
120531-bin86|PROKKA_MOD_02520	COG0052
120531-bin86|PROKKA_MOD_02521	COG1825
120531-bin86|PROKKA_MOD_02523	COG2801
120531-bin86|PROKKA_MOD_02529	COG2801
120619-bin26|PROKKA_MOD_00002	COG0560
120619-bin26|PROKKA_MOD_00003	COG1636
120619-bin26|PROKKA_MOD_00004	COG2513
120619-bin26|PROKKA_MOD_00005	COG0372
120619-bin26|PROKKA_MOD_00006	COG2079
120619-bin26|PROKKA_MOD_00007	COG2366
120619-bin26|PROKKA_MOD_00008	COG1028
120619-bin26|PROKKA_MOD_00009	COG0082
120619-bin26|PROKKA_MOD_00010	COG0065
120619-bin26|PROKKA_MOD_00011	COG0066
120619-bin26|PROKKA_MOD_00012	COG0473
120619-bin26|PROKKA_MOD_00013	COG0136
120619-bin26|PROKKA_MOD_00015	COG0101
120619-bin26|PROKKA_MOD_00016	COG0135
120619-bin26|PROKKA_MOD_00017	COG0133
120619-bin26|PROKKA_MOD_00018	COG0159
120619-bin26|PROKKA_MOD_00019	COG0777
120619-bin26|PROKKA_MOD_00021	COG1286
120619-bin26|PROKKA_MOD_00022	COG0034
120619-bin26|PROKKA_MOD_00023	COG1049
120619-bin26|PROKKA_MOD_00024	COG3313
120619-bin26|PROKKA_MOD_00025	COG0389
120619-bin26|PROKKA_MOD_00026	COG1974
120619-bin26|PROKKA_MOD_00027	COG2908
120619-bin26|PROKKA_MOD_00028	COG0652
120619-bin26|PROKKA_MOD_00029	COG0215
120619-bin26|PROKKA_MOD_00030	COG1028
120619-bin26|PROKKA_MOD_00031	COG0556
120619-bin26|PROKKA_MOD_00033	COG0046
120619-bin26|PROKKA_MOD_00034	COG1051
120619-bin26|PROKKA_MOD_00036	COG0663
120619-bin26|PROKKA_MOD_00037	COG0412
120619-bin26|PROKKA_MOD_00038	COG0013
120619-bin26|PROKKA_MOD_00039	COG0527
120619-bin26|PROKKA_MOD_00040	COG0044
120619-bin26|PROKKA_MOD_00041	COG0664
120619-bin26|PROKKA_MOD_00042	COG0300
120619-bin26|PROKKA_MOD_00043	COG4704
120619-bin26|PROKKA_MOD_00044	COG0586
120619-bin26|PROKKA_MOD_00046	COG0111
120619-bin26|PROKKA_MOD_00047	COG0318
120619-bin26|PROKKA_MOD_00048	COG1522
120619-bin26|PROKKA_MOD_00049	COG1522
120619-bin26|PROKKA_MOD_00052	COG2141
120619-bin26|PROKKA_MOD_00053	COG0119
120619-bin26|PROKKA_MOD_00054	COG4569
120619-bin26|PROKKA_MOD_00055	COG3971
120619-bin26|PROKKA_MOD_00056	COG0596
120619-bin26|PROKKA_MOD_00057	COG2124
120619-bin26|PROKKA_MOD_00058	COG0300
120619-bin26|PROKKA_MOD_00060	COG1028
120619-bin26|PROKKA_MOD_00061	COG0183
120619-bin26|PROKKA_MOD_00063	COG1960
120619-bin26|PROKKA_MOD_00064	COG1024
120619-bin26|PROKKA_MOD_00065	COG2070
120619-bin26|PROKKA_MOD_00066	COG1024
120619-bin26|PROKKA_MOD_00067	COG2057
120619-bin26|PROKKA_MOD_00068	COG1788
120619-bin26|PROKKA_MOD_00069	COG0346
120619-bin26|PROKKA_MOD_00070	COG0491
120619-bin26|PROKKA_MOD_00072	COG0300
120619-bin26|PROKKA_MOD_00073	COG0824
120619-bin26|PROKKA_MOD_00074	COG5470
120619-bin26|PROKKA_MOD_00075	COG2262
120619-bin26|PROKKA_MOD_00076	COG1233
120619-bin26|PROKKA_MOD_00077	COG1115
120619-bin26|PROKKA_MOD_00080	COG0071
120619-bin26|PROKKA_MOD_00081	COG0778
120619-bin26|PROKKA_MOD_00082	COG3788
120619-bin26|PROKKA_MOD_00084	COG3133
120619-bin26|PROKKA_MOD_00085	COG2137
120619-bin26|PROKKA_MOD_00086	COG2812
120619-bin26|PROKKA_MOD_00087	COG0353
120619-bin26|PROKKA_MOD_00088	COG0717
120619-bin26|PROKKA_MOD_00090	COG0299
120619-bin26|PROKKA_MOD_00091	COG0150
120619-bin26|PROKKA_MOD_00093	COG0558
120619-bin26|PROKKA_MOD_00094	COG0593
120619-bin26|PROKKA_MOD_00095	COG0616
120619-bin26|PROKKA_MOD_00099	COG0655
120619-bin26|PROKKA_MOD_00100	COG0526
120619-bin26|PROKKA_MOD_00101	COG0739
120619-bin26|PROKKA_MOD_00102	COG1570
120619-bin26|PROKKA_MOD_00103	COG0697
120619-bin26|PROKKA_MOD_00105	COG1028
120619-bin26|PROKKA_MOD_00106	COG1272
120619-bin26|PROKKA_MOD_00109	COG0326
120619-bin26|PROKKA_MOD_00110	COG0240
120619-bin26|PROKKA_MOD_00112	COG0302
120619-bin26|PROKKA_MOD_00113	COG0304
120619-bin26|PROKKA_MOD_00114	COG0190
120619-bin26|PROKKA_MOD_00115	COG1054
120619-bin26|PROKKA_MOD_00117	COG0334
120619-bin26|PROKKA_MOD_00119	COG1211
120619-bin26|PROKKA_MOD_00120	COG2919
120619-bin26|PROKKA_MOD_00121	COG0148
120619-bin26|PROKKA_MOD_00122	COG2877
120619-bin26|PROKKA_MOD_00123	COG0504
120619-bin26|PROKKA_MOD_00125	COG0787
120619-bin26|PROKKA_MOD_00126	COG0305
120619-bin26|PROKKA_MOD_00127	COG0359
120619-bin26|PROKKA_MOD_00128	COG0238
120619-bin26|PROKKA_MOD_00129	COG0360
120619-bin26|PROKKA_MOD_00130	COG0849
120619-bin26|PROKKA_MOD_00132	COG1181
120619-bin26|PROKKA_MOD_00133	COG0773
120619-bin26|PROKKA_MOD_00134	COG0707
120619-bin26|PROKKA_MOD_00135	COG0772
120619-bin26|PROKKA_MOD_00137	COG0472
120619-bin26|PROKKA_MOD_00138	COG0770
120619-bin26|PROKKA_MOD_00139	COG0769
120619-bin26|PROKKA_MOD_00140	COG0768
120619-bin26|PROKKA_MOD_00142	COG0275
120619-bin26|PROKKA_MOD_00143	COG0206
120619-bin26|PROKKA_MOD_00144	COG2001
120619-bin26|PROKKA_MOD_00145	COG0313
120619-bin26|PROKKA_MOD_00147	COG0625
120619-bin26|PROKKA_MOD_00148	COG2857
120619-bin26|PROKKA_MOD_00149	COG1290
120619-bin26|PROKKA_MOD_00151	COG0480
120619-bin26|PROKKA_MOD_00152	COG0051
120619-bin26|PROKKA_MOD_00153	COG0087
120619-bin26|PROKKA_MOD_00154	COG0088
120619-bin26|PROKKA_MOD_00155	COG0089
120619-bin26|PROKKA_MOD_00156	COG0090
120619-bin26|PROKKA_MOD_00157	COG0185
120619-bin26|PROKKA_MOD_00158	COG0091
120619-bin26|PROKKA_MOD_00159	COG0092
120619-bin26|PROKKA_MOD_00160	COG0197
120619-bin26|PROKKA_MOD_00161	COG0255
120619-bin26|PROKKA_MOD_00162	COG0186
120619-bin26|PROKKA_MOD_00163	COG0093
120619-bin26|PROKKA_MOD_00164	COG0198
120619-bin26|PROKKA_MOD_00165	COG0094
120619-bin26|PROKKA_MOD_00166	COG0199
120619-bin26|PROKKA_MOD_00167	COG0096
120619-bin26|PROKKA_MOD_00168	COG0097
120619-bin26|PROKKA_MOD_00169	COG0256
120619-bin26|PROKKA_MOD_00170	COG0098
120619-bin26|PROKKA_MOD_00171	COG1841
120619-bin26|PROKKA_MOD_00172	COG0200
120619-bin26|PROKKA_MOD_00173	COG0201
120619-bin26|PROKKA_MOD_00174	COG0099
120619-bin26|PROKKA_MOD_00175	COG0100
120619-bin26|PROKKA_MOD_00176	COG0522
120619-bin26|PROKKA_MOD_00177	COG0202
120619-bin26|PROKKA_MOD_00178	COG0203
120619-bin26|PROKKA_MOD_00179	COG0178
120619-bin26|PROKKA_MOD_00180	COG0629
120619-bin26|PROKKA_MOD_00181	COG1024
120619-bin26|PROKKA_MOD_00182	COG0073
120619-bin26|PROKKA_MOD_00183	COG5331
120619-bin26|PROKKA_MOD_00184	COG0304
120619-bin26|PROKKA_MOD_00185	COG0764
120619-bin26|PROKKA_MOD_00186	COG0142
120619-bin26|PROKKA_MOD_00187	COG0261
120619-bin26|PROKKA_MOD_00188	COG0211
120619-bin26|PROKKA_MOD_00189	COG0536
120619-bin26|PROKKA_MOD_00190	COG0268
120619-bin26|PROKKA_MOD_00191	COG1506
120619-bin26|PROKKA_MOD_00194	COG0779
120619-bin26|PROKKA_MOD_00195	COG0195
120619-bin26|PROKKA_MOD_00196	COG0532
120619-bin26|PROKKA_MOD_00197	COG0858
120619-bin26|PROKKA_MOD_00198	COG0130
120619-bin26|PROKKA_MOD_00199	COG0184
120619-bin26|PROKKA_MOD_00200	COG1185
120619-bin26|PROKKA_MOD_00203	COG0012
120619-bin26|PROKKA_MOD_00204	COG0193
120619-bin26|PROKKA_MOD_00205	COG1825
120619-bin26|PROKKA_MOD_00206	COG0462
120619-bin26|PROKKA_MOD_00207	COG1947
120619-bin26|PROKKA_MOD_00209	COG0373
120619-bin26|PROKKA_MOD_00210	COG0216
120619-bin26|PROKKA_MOD_00211	COG2890
120619-bin26|PROKKA_MOD_00212	COG0318
120619-bin26|PROKKA_MOD_00213	COG2030
120619-bin26|PROKKA_MOD_00214	COG0064
120619-bin26|PROKKA_MOD_00215	COG0154
120619-bin26|PROKKA_MOD_00216	COG0721
120619-bin26|PROKKA_MOD_00217	COG1077
120619-bin26|PROKKA_MOD_00218	COG0596
120619-bin26|PROKKA_MOD_00219	COG0525
120619-bin26|PROKKA_MOD_00220	COG0260
120619-bin26|PROKKA_MOD_00221	COG0795
120619-bin26|PROKKA_MOD_00222	COG0795
120619-bin26|PROKKA_MOD_00224	COG3104
120619-bin26|PROKKA_MOD_00225	COG0624
120619-bin26|PROKKA_MOD_00226	COG2171
120619-bin26|PROKKA_MOD_00227	COG2844
120619-bin26|PROKKA_MOD_00228	COG0024
120619-bin26|PROKKA_MOD_00229	COG0505
120619-bin26|PROKKA_MOD_00230	COG0458
120619-bin26|PROKKA_MOD_00231	COG0782
120619-bin26|PROKKA_MOD_00232	COG0293
120619-bin26|PROKKA_MOD_00233	COG0465
120619-bin26|PROKKA_MOD_00234	COG1109
120619-bin26|PROKKA_MOD_00235	COG2976
120619-bin26|PROKKA_MOD_00236	COG1520
120619-bin26|PROKKA_MOD_00237	COG1160
120619-bin26|PROKKA_MOD_00240	COG1053
120619-bin26|PROKKA_MOD_00241	COG0479
120619-bin26|PROKKA_MOD_00242	COG0567
120619-bin26|PROKKA_MOD_00243	COG0508
120619-bin26|PROKKA_MOD_00244	COG1249
120619-bin26|PROKKA_MOD_00245	COG0045
120619-bin26|PROKKA_MOD_00246	COG0074
120619-bin26|PROKKA_MOD_00247	COG0534
120619-bin26|PROKKA_MOD_00248	COG0110
120619-bin26|PROKKA_MOD_00249	COG0111
120619-bin26|PROKKA_MOD_00250	COG0397
120619-bin26|PROKKA_MOD_00251	COG2141
120619-bin26|PROKKA_MOD_00252	COG0318
120619-bin26|PROKKA_MOD_00253	COG0318
120619-bin26|PROKKA_MOD_00254	COG0236
120619-bin26|PROKKA_MOD_00255	COG1028
120619-bin26|PROKKA_MOD_00256	COG0331
120619-bin26|PROKKA_MOD_00257	COG0333
120619-bin26|PROKKA_MOD_00258	COG0564
120619-bin26|PROKKA_MOD_00259	COG1530
120619-bin26|PROKKA_MOD_00260	COG2816
120619-bin26|PROKKA_MOD_00261	COG3067
120619-bin26|PROKKA_MOD_00262	COG0042
120619-bin26|PROKKA_MOD_00263	COG2853
120619-bin26|PROKKA_MOD_00264	COG0489
120619-bin26|PROKKA_MOD_00265	COG0143
120619-bin26|PROKKA_MOD_00266	COG0492
120619-bin26|PROKKA_MOD_00267	COG2878
120619-bin26|PROKKA_MOD_00268	COG0334
120619-bin26|PROKKA_MOD_00271	COG2193
120619-bin26|PROKKA_MOD_00272	COG0278
120619-bin26|PROKKA_MOD_00273	COG0854
120619-bin26|PROKKA_MOD_00276	COG1028
120619-bin26|PROKKA_MOD_00281	COG3268
120619-bin26|PROKKA_MOD_00282	COG0568
120619-bin26|PROKKA_MOD_00283	COG0358
120619-bin26|PROKKA_MOD_00284	COG0816
120619-bin26|PROKKA_MOD_00286	COG0189
120619-bin26|PROKKA_MOD_00287	COG1385
120619-bin26|PROKKA_MOD_00288	COG0406
120619-bin26|PROKKA_MOD_00289	COG2901
120619-bin26|PROKKA_MOD_00290	COG0138
120619-bin26|PROKKA_MOD_00291	COG0151
120619-bin26|PROKKA_MOD_00292	COG2941
120619-bin26|PROKKA_MOD_00293	COG0134
120619-bin26|PROKKA_MOD_00294	COG0547
120619-bin26|PROKKA_MOD_00295	COG0512
120619-bin26|PROKKA_MOD_00296	COG0147
120619-bin26|PROKKA_MOD_00297	COG1430
120619-bin26|PROKKA_MOD_00298	COG0036
120619-bin26|PROKKA_MOD_00299	COG1208
120619-bin26|PROKKA_MOD_00300	COG3178
120619-bin26|PROKKA_MOD_00301	COG1028
120619-bin26|PROKKA_MOD_00302	COG3917
120619-bin26|PROKKA_MOD_00304	COG0164
120619-bin26|PROKKA_MOD_00305	COG0587
120619-bin26|PROKKA_MOD_00306	COG0825
120619-bin26|PROKKA_MOD_00307	COG0037
120619-bin26|PROKKA_MOD_00308	COG1024
120619-bin26|PROKKA_MOD_00309	COG0119
120619-bin26|PROKKA_MOD_00311	COG0456
120619-bin26|PROKKA_MOD_00312	COG0386
120619-bin26|PROKKA_MOD_00313	COG2153
120619-bin26|PROKKA_MOD_00315	COG2141
120619-bin26|PROKKA_MOD_00316	COG3138
120619-bin26|PROKKA_MOD_00317	COG1012
120619-bin26|PROKKA_MOD_00318	COG3724
120619-bin26|PROKKA_MOD_00319	COG0318
120619-bin26|PROKKA_MOD_00320	COG3268
120619-bin26|PROKKA_MOD_00321	COG0596
120619-bin26|PROKKA_MOD_00323	COG0292
120619-bin26|PROKKA_MOD_00324	COG0291
120619-bin26|PROKKA_MOD_00325	COG0290
120619-bin26|PROKKA_MOD_00326	COG0259
120619-bin26|PROKKA_MOD_00327	COG0539
120619-bin26|PROKKA_MOD_00328	COG0283
120619-bin26|PROKKA_MOD_00329	COG0128
120619-bin26|PROKKA_MOD_00330	COG0287
120619-bin26|PROKKA_MOD_00331	COG0079
120619-bin26|PROKKA_MOD_00332	COG0077
120619-bin26|PROKKA_MOD_00333	COG1932
120619-bin26|PROKKA_MOD_00334	COG0188
120619-bin26|PROKKA_MOD_00335	COG1282
120619-bin26|PROKKA_MOD_00337	COG3288
120619-bin26|PROKKA_MOD_00338	COG1028
120619-bin26|PROKKA_MOD_00339	COG2227
120619-bin26|PROKKA_MOD_00340	COG0546
120619-bin26|PROKKA_MOD_00341	COG1028
120619-bin26|PROKKA_MOD_00342	COG1187
120619-bin26|PROKKA_MOD_00343	COG1386
120619-bin26|PROKKA_MOD_00346	COG1466
120619-bin26|PROKKA_MOD_00349	COG0495
120619-bin26|PROKKA_MOD_00350	COG0439
120619-bin26|PROKKA_MOD_00351	COG0511
120619-bin26|PROKKA_MOD_00352	COG0757
120619-bin26|PROKKA_MOD_00354	COG0657
120619-bin26|PROKKA_MOD_00355	COG4172
120619-bin26|PROKKA_MOD_00356	COG0129
120619-bin26|PROKKA_MOD_00357	COG0113
120619-bin26|PROKKA_MOD_00359	COG1158
120619-bin26|PROKKA_MOD_00360	COG1587
120619-bin26|PROKKA_MOD_00361	COG0181
120619-bin26|PROKKA_MOD_00362	COG0742
120619-bin26|PROKKA_MOD_00363	COG1853
120619-bin26|PROKKA_MOD_00366	COG2025
120619-bin26|PROKKA_MOD_00367	COG2086
120619-bin26|PROKKA_MOD_00368	COG0644
120619-bin26|PROKKA_MOD_00369	COG4805
120619-bin26|PROKKA_MOD_00370	COG3816
120619-bin26|PROKKA_MOD_00371	COG1280
120619-bin26|PROKKA_MOD_00372	COG0812
120619-bin26|PROKKA_MOD_00373	COG1212
120619-bin26|PROKKA_MOD_00374	COG2835
120619-bin26|PROKKA_MOD_00375	COG1132
120619-bin26|PROKKA_MOD_00377	COG0811
120619-bin26|PROKKA_MOD_00378	COG1136
120619-bin26|PROKKA_MOD_00379	COG4591
120619-bin26|PROKKA_MOD_00380	COG1012
120619-bin26|PROKKA_MOD_00381	COG1028
120619-bin26|PROKKA_MOD_00389	COG1937
120619-bin26|PROKKA_MOD_00391	COG4798
120619-bin26|PROKKA_MOD_00392	COG2259
120619-bin26|PROKKA_MOD_00396	COG3621
120619-bin26|PROKKA_MOD_00398	COG1680
120619-bin26|PROKKA_MOD_00399	COG4221
120619-bin26|PROKKA_MOD_00400	COG2855
120619-bin26|PROKKA_MOD_00401	COG1217
120619-bin26|PROKKA_MOD_00402	COG0513
120619-bin26|PROKKA_MOD_00403	COG2128
120619-bin26|PROKKA_MOD_00404	COG0626
120619-bin26|PROKKA_MOD_00405	COG0189
120619-bin26|PROKKA_MOD_00407	COG3752
120619-bin26|PROKKA_MOD_00409	COG0231
120619-bin26|PROKKA_MOD_00410	COG0018
120619-bin26|PROKKA_MOD_00412	COG0325
120619-bin26|PROKKA_MOD_00413	COG0345
120619-bin26|PROKKA_MOD_00414	COG0762
120619-bin26|PROKKA_MOD_00415	COG2021
120619-bin26|PROKKA_MOD_00417	COG0127
120619-bin26|PROKKA_MOD_00418	COG0635
120619-bin26|PROKKA_MOD_00419	COG0220
120619-bin26|PROKKA_MOD_00420	COG0568
120619-bin26|PROKKA_MOD_00421	COG1218
120619-bin26|PROKKA_MOD_00422	COG1011
120619-bin26|PROKKA_MOD_00423	COG1785
120619-bin26|PROKKA_MOD_00424	COG2503
120619-bin26|PROKKA_MOD_00427	COG0225
120619-bin26|PROKKA_MOD_00428	COG0340
120619-bin26|PROKKA_MOD_00430	COG0050
120619-bin26|PROKKA_MOD_00431	COG0690
120619-bin26|PROKKA_MOD_00432	COG0250
120619-bin26|PROKKA_MOD_00433	COG0080
120619-bin26|PROKKA_MOD_00434	COG0081
120619-bin26|PROKKA_MOD_00435	COG0244
120619-bin26|PROKKA_MOD_00436	COG0222
120619-bin26|PROKKA_MOD_00437	COG0085
120619-bin26|PROKKA_MOD_00438	COG0086
120619-bin26|PROKKA_MOD_00439	COG0048
120619-bin26|PROKKA_MOD_00440	COG0049
120619-bin26|PROKKA_MOD_00442	COG0443
120619-bin26|PROKKA_MOD_00443	COG0484
120619-bin26|PROKKA_MOD_00444	COG0289
120619-bin26|PROKKA_MOD_00445	COG0052
120619-bin26|PROKKA_MOD_00446	COG0264
120619-bin26|PROKKA_MOD_00447	COG0528
120619-bin26|PROKKA_MOD_00448	COG0233
120619-bin26|PROKKA_MOD_00449	COG0020
120619-bin26|PROKKA_MOD_00451	COG0743
120619-bin26|PROKKA_MOD_00452	COG0750
120619-bin26|PROKKA_MOD_00453	COG4775
120619-bin26|PROKKA_MOD_00455	COG1044
120619-bin26|PROKKA_MOD_00456	COG0764
120619-bin26|PROKKA_MOD_00457	COG1043
120619-bin26|PROKKA_MOD_00458	COG0763
120619-bin26|PROKKA_MOD_00460	COG0760
120619-bin26|PROKKA_MOD_00461	COG1995
120619-bin26|PROKKA_MOD_00462	COG0030
120619-bin26|PROKKA_MOD_00464	COG0617
120619-bin26|PROKKA_MOD_00465	COG1028
120619-bin26|PROKKA_MOD_00466	COG3173
120619-bin26|PROKKA_MOD_00467	COG0801
120619-bin26|PROKKA_MOD_00468	COG1539
120619-bin26|PROKKA_MOD_00469	COG0533
120619-bin26|PROKKA_MOD_00470	COG0828
120619-bin26|PROKKA_MOD_00471	COG1610
120619-bin26|PROKKA_MOD_00473	COG1228
120619-bin26|PROKKA_MOD_00474	COG0689
120619-bin26|PROKKA_MOD_00475	COG0461
120619-bin26|PROKKA_MOD_00476	COG0307
120619-bin26|PROKKA_MOD_00477	COG0540
120619-bin26|PROKKA_MOD_00478	COG0251
120619-bin26|PROKKA_MOD_00480	COG2211
120619-bin26|PROKKA_MOD_00481	COG0189
120619-bin26|PROKKA_MOD_00484	COG0393
120619-bin26|PROKKA_MOD_00485	COG3785
120619-bin26|PROKKA_MOD_00486	COG1167
120619-bin26|PROKKA_MOD_00487	COG1322
120619-bin26|PROKKA_MOD_00488	COG0672
120619-bin26|PROKKA_MOD_00489	COG0404
120619-bin26|PROKKA_MOD_00490	COG0509
120619-bin26|PROKKA_MOD_00491	COG1003
120619-bin26|PROKKA_MOD_00492	COG0560
120619-bin26|PROKKA_MOD_00493	COG0494
120619-bin26|PROKKA_MOD_00495	COG0682
120619-bin26|PROKKA_MOD_00496	COG0207
120619-bin26|PROKKA_MOD_00497	COG0441
120619-bin26|PROKKA_MOD_00499	COG2873
120619-bin26|PROKKA_MOD_00501	COG4133
120619-bin26|PROKKA_MOD_00502	COG2386
120619-bin26|PROKKA_MOD_00503	COG0755
120619-bin26|PROKKA_MOD_00505	COG2332
120619-bin26|PROKKA_MOD_00506	COG1138
120619-bin26|PROKKA_MOD_00507	COG0526
120619-bin26|PROKKA_MOD_00508	COG3088
120619-bin26|PROKKA_MOD_00512	COG0272
120619-bin26|PROKKA_MOD_00515	COG1680
120619-bin26|PROKKA_MOD_00516	COG4105
120619-bin26|PROKKA_MOD_00517	COG0564
120619-bin26|PROKKA_MOD_00518	COG0028
120619-bin26|PROKKA_MOD_00519	COG0440
120619-bin26|PROKKA_MOD_00520	COG0059
120619-bin26|PROKKA_MOD_00522	COG0237
120619-bin26|PROKKA_MOD_00523	COG3024
120619-bin26|PROKKA_MOD_00524	COG0653
120619-bin26|PROKKA_MOD_00526	COG0239
120619-bin26|PROKKA_MOD_00528	COG1674
120619-bin26|PROKKA_MOD_00529	COG0492
120619-bin26|PROKKA_MOD_00531	COG0604
120619-bin26|PROKKA_MOD_00532	COG1028
120619-bin26|PROKKA_MOD_00534	COG0347
120619-bin26|PROKKA_MOD_00535	COG0004
120619-bin26|PROKKA_MOD_00536	COG0347
120619-bin26|PROKKA_MOD_00537	COG0004
120619-bin26|PROKKA_MOD_00539	COG1883
120619-bin26|PROKKA_MOD_00540	COG5016
120619-bin26|PROKKA_MOD_00545	COG0162
120619-bin26|PROKKA_MOD_00546	COG0179
120619-bin26|PROKKA_MOD_00547	COG0739
120619-bin26|PROKKA_MOD_00548	COG2377
120619-bin26|PROKKA_MOD_00549	COG0316
120619-bin26|PROKKA_MOD_00550	COG1981
120619-bin26|PROKKA_MOD_00551	COG0001
120619-bin26|PROKKA_MOD_00552	COG0524
120619-bin26|PROKKA_MOD_00553	COG1734
120619-bin26|PROKKA_MOD_00554	COG0617
120619-bin26|PROKKA_MOD_00555	COG1428
120619-bin26|PROKKA_MOD_00556	COG0365
120619-bin26|PROKKA_MOD_00560	COG0654
120619-bin26|PROKKA_MOD_00561	COG0424
120619-bin26|PROKKA_MOD_00562	COG1028
120619-bin26|PROKKA_MOD_00563	COG0227
120619-bin26|PROKKA_MOD_00564	COG2062
120619-bin26|PROKKA_MOD_00565	COG0756
120619-bin26|PROKKA_MOD_00566	COG0254
120619-bin26|PROKKA_MOD_00567	COG1198
120619-bin26|PROKKA_MOD_00568	COG1028
120619-bin26|PROKKA_MOD_00569	COG0860
120619-bin26|PROKKA_MOD_00570	COG0802
120619-bin26|PROKKA_MOD_00571	COG0063
120619-bin26|PROKKA_MOD_00573	COG0596
120619-bin26|PROKKA_MOD_00577	COG2211
120619-bin26|PROKKA_MOD_00578	COG0667
120619-bin26|PROKKA_MOD_00579	COG1472
120619-bin26|PROKKA_MOD_00580	COG2141
120619-bin26|PROKKA_MOD_00582	COG0583
120619-bin26|PROKKA_MOD_00583	COG0376
120619-bin26|PROKKA_MOD_00585	COG0669
120619-bin26|PROKKA_MOD_00586	COG0266
